subset,id_str,object_id,tile_index,RA,DEC,segmentation_area,flux_vis_1fwhm_aper,expert_score,grade,expert_total_votes
discovery_engine,102159779_2751487998670085647,2751487998670085647,102159779,275.1487998074626,67.00856478118277,4870.0,12.541434288024902,1.0873307296969617,C,10
discovery_engine,102157954_2679576312639125362,2679576312639125362,102157954,267.95763121804384,63.9125362457922,2248.0,16.19169044494629,2.108083498915117,A,10
discovery_engine,102158587_2722135115648424041,2722135115648424041,102158587,272.2135115587099,64.84240418056166,518.0,0.9856993556022644,1.4181293786891809,C,10
discovery_engine,102158586_2710834800648486342,2710834800648486342,102158586,271.08348004173496,64.84863421733759,814.0,2.7572920322418213,2.146817613064413,A,8
discovery_engine,102159773_2671366170672094055,2671366170672094055,102159773,267.13661707775447,67.20940554012809,526.0,2.476460695266724,1.975280569795352,B,10
discovery_engine,102159490_2737537024662786045,2737537024662786045,102159490,273.7537024463943,66.27860457614045,531.0,0.92548930644989,0.8871834314331432,C,8
discovery_engine,102158586_2702922441650092356,2702922441650092356,102158586,270.29224415845937,65.00923569818201,1398.0,3.6727280616760254,0.7841940922917926,C,10
discovery_engine,102158896_2752889644654627869,2752889644654627869,102158896,275.28896442169224,65.46278699610194,4925.0,13.100072860717772,1.0254879951461449,C,11
discovery_engine,102157630_2670092807633544584,2670092807633544584,102157630,267.0092807389031,63.35445845923286,10561.0,17.56172752380371,0.9634402508949612,C,10
discovery_engine,102159491_2759694439666456837,2759694439666456837,102159491,275.9694439524236,66.64568377824713,11107.0,20.45917510986328,0.8852995448981034,C,10
discovery_engine,102157957_2711813162637737494,2711813162637737494,102157957,271.1813162216756,63.773749419215626,4852.0,10.107192039489746,1.5720997072916267,B,10
discovery_engine,102158271_2666275399643768812,2666275399643768812,102158271,266.6275399812074,64.37688126215781,3667.0,14.791213989257812,0.6965602912460297,C,16
discovery_engine,102158896_2760272555655712464,2760272555655712464,102158896,276.0272555248371,65.57124647764964,1072.0,9.050124168395996,1.9451554297921143,B,10
discovery_engine,102160339_2734354853680396646,2734354853680396646,102160339,273.4354853340752,68.03966469991514,342.0,1.7180501222610474,1.4030748433547355,C,10
discovery_engine,102158270_2656382386643695481,2656382386643695481,102158270,265.6382386693545,64.36954818386313,433.0,1.9576746225357056,1.791453596747299,B,10
discovery_engine,102159195_2739926897659828555,2739926897659828555,102159195,273.99268971961067,65.98285556470962,497.0,1.2321139574050903,0.9393272107546996,C,10
